SOURCE_DATASET,ID_1,ID_2,NORMALIZED_1,NORMALIZED_2,TITLE_1,TITLE_2,AUTHOR_1,AUTHOR_2,BEGIN_PUBLICATION_DATE_1,BEGIN_PUBLICATION_DATE_2,SIMILARITY_SCORE
Laval_Results_Oct20,5793,5796,phonetiqueorthophoniquealusagedescanadiensfrancaisorthophonieexercicesdecor-gend-1973,phonetiqueorthophoniquealusagedescanadiensfrancaisorthophonieexercisesdecor-gend-1973,Phonétique orthophonique à l'usage des Canadiens-français :,Phonétique orthophonique à l'usage des Canadiens français :,"Gendron, Jean-Denis,","Gendron, Jean-Denis,",1973,1973,98.82352941176471
Laval_Results_Oct20,1355,1356,elementsdelangagepl1notesdecours-macq-1971,elementsdelanguagepl1notesdecours-macq-1971,Eléments de langage PL/1 :,Eléments de language PL/1 :,"Macquart, Serge,","Macquart, Serge.",1971,1971,98.82352941176471
Laval_Results_Oct20,371,373,bibliographieanalytiquedetestsdelangueanalyticalbibliographyoflanguagetests-sava-1969,bibliographieanalytiquedetestsdelanguesanalyticalbibliographyoflanguagetest-sava-1969,Bibliographie analytique de tests de langue.,Bibliographie analytique de tests de langues.,"Savard, Jean Guy,","Savard, Jean Guy,",1969,1969,98.82352941176471
Laval_Results_Oct20,1845,1846,glossaireduparlerfrancaisaucanadacontenant10lesmotsetlocutionsenusagedansle--1968,glossaireduparlerfrancaisaucanadacontenante1lesmotsetlocutionsenusagedansle--1968,"Glossaire du parler français au Canada, contenant :","Glossaire du parler français au Canada, contenant:",,,1968,1968,98.76543209876543
Laval_Results_Oct20,6497,6496,romanciersimmigresbiographiesetoeuvrespublieesauquebecentre1970et1990-hell-1993,romanciersimmigresbiographiesetoeuvrespublieesauquebecentre19701990-hell-1993,Romanciers immigrés :,Romanciers immigrés :,"Helly, Denise,","Helly, Denise,",1993,1993,98.71794871794873
Laval_Results_Oct20,3023,5855,lapolitiqueactivedemaindoeuvreetlafonctioninformationuneopinion-sext-1975,politiqueactivedemaindoeuvreetlafonctioninformationuneopinion-sext-1975,La politique active de main-dʼoeuvre et la fonction information:,"""politique active de main-d'oeuvre et la fonction """"information"""" :""","Sexton, Jean.","Sexton, Jean.",1975,1975,98.61111111111111
Laval_Results_Oct20,4080,4081,les100premieresanneesdelacharpenterienavaleaquebec16631753-bris-1983,les100premieresanneesdelacharpenterienavaleaquebec16631763-bris-1983,"Les 100 premières années de la charpenterie navale à Québec, 1663-1753 /",Les 100 premières années de la charpenterie navale à Québec :,"Brisson, Réal,","Brisson, Réal N.",1983,1983,98.52941176470588
Laval_Results_Oct20,2798,2808,lamensongerecontetype710-schm-1972,lamesongerecontetype710-schm-1972,"La mensongère, conte-type 710 /",La mesongère,"Schmitz, Nancy,","Schmitz, Nancy.",1972,1972,98.50746268656717
Laval_Results_Oct20,6032,6044,probleemeshumainsdutravail--1953,problemeshumainsdutravail--1953,Probleèmes humains du travail.,Problemes humains du travail.,,,1953,1953,98.41269841269842
Laval_Results_Oct20,4201,4197,lesconditionsdudeveloppementagricoleauquebec-morr-1972,lesconditionsdedeveloppementagricoleauquebec-morr-1972,Les conditions du développement agricole au Québec.,Les conditions de développement agricole au Québec.,"Morrissette, Hugues","Morrissette, Hughes.",1972,1972,98.14814814814815
Laval_Results_Oct20,3300,3301,lastabilitdelemploi--1956,lastabilitedelemploi--1956,La stabilit ̌de l'emploi /,La stabilité de l'emploi /,,,1956,1956,98.0392156862745
Laval_Results_Oct20,3269,3270,lasocietedegeographiedequebec18771970-mori-1971,lasocietedegeographieduquebec18771970-mori-1971,"La Société de géographie de Québec,1877-1970.",La société de géographie du Québec :,"Morissonneau, Christian,","Morissonneau, Christian.",1971,1971,97.87234042553192
Laval_Results_Oct20,4166,4167,leschangementssocioculturelsasaintaugustincontributionaletudedesisolatsdela-trem-1969,leschangementssocioculturelsıasaintaugustincontributionıaletudedesisolatsde-trem-1969,Les changements socio-culturels à Saint-Augustin; contribution à l'étude des isolats de la Côte-Nord du Saint-Laurent /,Les changements socio-culturels ıa Saint-Augustin,"Tremblay, Marc Adélard.","Tremblay, Marc Adélard",1969,1969,97.6470588235294
Laval_Results_Oct20,2895,2908,langageetsciencedulangage-guil-1964,languageetsciencedulanguage-guil-1964,Langage et science du langage.,Language et science du language.,"Guillaume, Gustave,","Guillaume, Gustave,",1964,1964,97.22222222222221
Laval_Results_Oct20,2887,3828,lanefdesfousuniversite1968-gusd-1969,lenefdesfousuniversite1968-gusd-1969,La nef des fous,Le nef des fous :,"Gusdorf, Georges,","Gusdorf, Georges,",1969,1969,97.22222222222221
Laval_Results_Oct20,6705,6706,structureadministrativedesuniversitesaucanadarapportdelacommissiondenquete-duff-1966,structureadministrativedesuniversitesaucanadarapportdelacommissiondenquetee--1966,Structure administrative des universités au Canada :,Structure administrative des universités au Canada,"Duff, James,",,1966,1966,96.96969696969697
Laval_Results_Oct20,6043,6044,problemeshumainsdetravail--1953,problemeshumainsdutravail--1953,Proble?mes humains de travail.,Problemes humains du travail.,,,1953,1953,96.7741935483871
Laval_Results_Oct20,169,170,annuairedutelephone1990--uuuu,annuairedutelephone1992--uuuu,"Annuaire du téléphone, [1990].","Annuaire du téléphone, [1992].",,,uuuu,uuuu,96.55172413793103
Laval_Results_Oct20,2201,2202,interagirunestrategieefficacedorientationetdinsertionsocioprofessionnelle-four-1995,interagirunestrategieefficacedorientationetdinsertionsocioprofessionnellede--1995,Interagir :,"Interagir, une stratégie efficace d'orientation et d'insertion socioprofessionnelle :","Fournier, Geneviève.",,1995,1995,96.34146341463415
Laval_Results_Oct20,131,132,analysedesdocumentsdepreventiondesagressionssexuellesenverslesenfants-bouc-1989,analysedesdocumentsdepreventiondesagressionssexuellesenverslesenfantsrappor-bouc-1989,Analyse des documents de prévention des agressions sexuelles envers les enfants /,Analyse des documents de prévention des agressions sexuelles envers les enfants :,"Bouchard, Pierrette,","Bouchard, Pierrette,",1989,1989,96.34146341463415
Laval_Results_Oct20,2044,2049,histoirelitterairedelameriquefrancaisedesoriginesa1950-viat-1954,histoirelitteraturedelameriqueframcaisedesoriginesa1950-viat-1954,Histoire littéraire de l'Amérique française des origines à 1950.,Histoire littérature de l'Amérique framçaise des origines à 1950. --,"Viatte, Auguste,","Viatte, Auguste,",1954,1954,96.12403100775194
Laval_Results_Oct20,172,173,annuaireno411990199lrepertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,annuaireno4219911992repertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,"[Annuaire] no. 41, 1990-199l. Répertoire des programmes des deuxième et troisième cycles.","[Annuaire] no. 42, 1991-1992. Répertoire des programmes des deuxième et troisième cycles.",,,uuuu,uuuu,96.1038961038961
Laval_Results_Oct20,172,174,annuaireno411990199lrepertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,annuaireno4319921993repertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,"[Annuaire] no. 41, 1990-199l. Répertoire des programmes des deuxième et troisième cycles.","[Annuaire] no 43, 1992-1993. Répertoire des programmes des deuxième et troisième cycles.",,,uuuu,uuuu,96.1038961038961
Laval_Results_Oct20,172,175,annuaireno411990199lrepertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,annuaireno4419931994repertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,"[Annuaire] no. 41, 1990-199l. Répertoire des programmes des deuxième et troisième cycles.","[Annuaire] no 44, 1993-1994. Répertoire des programmes des deuxième et troisième cycles.",,,uuuu,uuuu,96.1038961038961
Laval_Results_Oct20,173,174,annuaireno4219911992repertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,annuaireno4319921993repertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,"[Annuaire] no. 42, 1991-1992. Répertoire des programmes des deuxième et troisième cycles.","[Annuaire] no 43, 1992-1993. Répertoire des programmes des deuxième et troisième cycles.",,,uuuu,uuuu,96.1038961038961
Laval_Results_Oct20,173,175,annuaireno4219911992repertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,annuaireno4419931994repertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,"[Annuaire] no. 42, 1991-1992. Répertoire des programmes des deuxième et troisième cycles.","[Annuaire] no 44, 1993-1994. Répertoire des programmes des deuxième et troisième cycles.",,,uuuu,uuuu,96.1038961038961
Laval_Results_Oct20,174,175,annuaireno4319921993repertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,annuaireno4419931994repertoiredesprogrammesdesdeuxiemeettroisiemecycles--uuuu,"[Annuaire] no 43, 1992-1993. Répertoire des programmes des deuxième et troisième cycles.","[Annuaire] no 44, 1993-1994. Répertoire des programmes des deuxième et troisième cycles.",,,uuuu,uuuu,96.1038961038961
Laval_Results_Oct20,1653,1656,explicationsdetextesfrancaisetanglais-lebe-1953,explicationsdetextesfrancaisetanglaisser1-lebe-1953,Explications de textes français et anglais. --,Explications de textes francais et anglais [ser.] 1. -,"Lebel, Maurice,","Lebel, Maurice,",1953,1953,95.91836734693877
Laval_Results_Oct20,4454,4456,leslaiquesetlapressepedagogiqueaucanadafrancaisau19esiecle-laba-1963,leslaiquesetlapressepedagogiqueaucanadafrancaisauxixsiecle-laba-1963,Les laïques et la presse pédagogique au Canada français au 19e siècle.,Les laíques et la presse pédagogique au Canada français au XIX siècle.,"Labarrère-Paulé, André","Labarrère, André,",1963,1963,95.58823529411765
Laval_Results_Oct20,1129,1128,dictionnaireetymologiquedelancienfrancaisindex-bald-1974,dictionnaireetymologiquedelancienfrancaisdeaf-bald-1974,Dictionnaire étymologique de l'ancien français : index /,Dictionnaire étymologique de l'ancien français (DEAF) /,"Baldinger, Kurt,","Baldinger, Kurt,",1974,1974,95.4954954954955
Laval_Results_Oct20,5858,5859,politiquesdemaindoeuvreevaluationdelexperiencequebecoise--1972,politiquesdemaindoeuvreevaluationdelexperiencequebecoiseetudes--1972,Politiques de main-d'oeuvre :,Politiques de main-d'œuvre :,,,1972,1972,95.38461538461537
Laval_Results_Oct20,6402,6403,repertoiredescoursdesdeuxiemeettroisiemecyclesno1319901992--uuuu,repertoiredescoursdesdeuxiemeettroisiemecyclesno1519921994--uuuu,"Répertoire des cours des deuxième et troisième cycles, no. 13, 1990-1992.","Répertoire des cours des deuxième et troisième cycles, no. 15, 1992-1994.",,,uuuu,uuuu,95.3125
Laval_Results_Oct20,2736,2737,lalcoolchezlesjeunesquebecoismodelesdeconsommationdalcoolchezungroupedejeun-fatt-1970,lalcoolchezlesjeunesquebecoismodıelesdeconsommationdalcoolchezungroupedejeu-abda-1970,L'alcool chez les jeunes Québécois :,L'alcool chez les jeunes québécois,"Fattah, Ezzat A.,","'Abd al-Fattāh, 'Izzat",1970,1970,95.29411764705881
Laval_Results_Oct20,6032,6043,probleemeshumainsdutravail--1953,problemeshumainsdetravail--1953,Probleèmes humains du travail.,Proble?mes humains de travail.,,,1953,1953,95.23809523809523
Laval_Results_Oct20,3477,3476,lecanadafrancaisdaujourdhuietudesrassembleesparlasocieteducanada--1970,lecanadafrancaisdaujoudhuietudesrassembleesparlasocieteroyaleducanada--1970,Le Canada français d'aujourd'hui :,Le Canada français d'aujoud'hui,,,1970,1970,95.17241379310344
Laval_Results_Oct20,6410,6411,repertoiredesprogrammesdecoursdepremiercycleno1819901991--uuuu,repertoiredesprogrammesdecoursdepremiercycleno1919911992--uuuu,"Répertoire des programmes de cours de premier cycle, no. 18, 1990-1991.","Répertoire des programmes de cours de premier cycle, no. 19, 1991-1992.",,,uuuu,uuuu,95.16129032258065
Laval_Results_Oct20,6410,6413,repertoiredesprogrammesdecoursdepremiercycleno1819901991--uuuu,repertoiredesprogrammesdecoursdepremiercycleno2119931994--uuuu,"Répertoire des programmes de cours de premier cycle, no. 18, 1990-1991.","Répertoire des programmes de cours de premier cycle, no. 21, 1993-1994.",,,uuuu,uuuu,95.16129032258065
Laval_Results_Oct20,6411,6413,repertoiredesprogrammesdecoursdepremiercycleno1919911992--uuuu,repertoiredesprogrammesdecoursdepremiercycleno2119931994--uuuu,"Répertoire des programmes de cours de premier cycle, no. 19, 1991-1992.","Répertoire des programmes de cours de premier cycle, no. 21, 1993-1994.",,,uuuu,uuuu,95.16129032258065
Laval_Results_Oct20,6412,6413,repertoiredesprogrammesdecoursdepremiercycleno2019921993--uuuu,repertoiredesprogrammesdecoursdepremiercycleno2119931994--uuuu,"Répertoire des programmes de cours de premier cycle, no. 20, 1992-1993.","Répertoire des programmes de cours de premier cycle, no. 21, 1993-1994.",,,uuuu,uuuu,95.16129032258065
Laval_Results_Oct20,1861,1862,grammairecomparativedufrancaiseetdelanglaisalusagedesanglophones-trem-1971,grammairecomparativedufrancaisetdelanglaisalsagedesanglophones-mede-1971,Grammaire comparative du française et de l'anglais à l'usage des anglophones.,Grammaire comparative du français et de l'anglais à l'sage des anglophones.,"Tremblay, Jean-Paul,","Médéric, Paul,",1971,1971,94.52054794520548
Laval_Results_Oct20,4958,4959,lexplicationdestexteslitterairesmethodedexplicationetchoixdetextes-lebe-1957,lexplicationdestexteslitterairesmethodedexplicationetchoixdetextestextesfra-lebe-1957,L'explication des textes littéraires,L'explication des textes littéraires,"Lebel, Maurice,","Lebel, Maurice,",1957,1957,94.40993788819875
Laval_Results_Oct20,864,866,cursustheologicusiniamiiædegratia-john-1954,cursustheologicusiniamilaedegratia-john-1954,Cursus theologicus In Iam-IIæ :,Cursus theologicus in Iam Ilae.,"John of St. Thomas,","John of St. Thomas,",1954,1954,94.25287356321839
Laval_Results_Oct20,5515,5516,nospionniersdanslouest-bern-1949,nospionniersdelouest-bern-1949,Nos pionniers dans l'ouest /,Nos pionniers de l'Ouest.,"Bernard, Antoine,","Bernard, Antoine,",1949,1949,93.5483870967742
Laval_Results_Oct20,6410,6412,repertoiredesprogrammesdecoursdepremiercycleno1819901991--uuuu,repertoiredesprogrammesdecoursdepremiercycleno2019921993--uuuu,"Répertoire des programmes de cours de premier cycle, no. 18, 1990-1991.","Répertoire des programmes de cours de premier cycle, no. 20, 1992-1993.",,,uuuu,uuuu,93.5483870967742
Laval_Results_Oct20,6411,6412,repertoiredesprogrammesdecoursdepremiercycleno1919911992--uuuu,repertoiredesprogrammesdecoursdepremiercycleno2019921993--uuuu,"Répertoire des programmes de cours de premier cycle, no. 19, 1991-1992.","Répertoire des programmes de cours de premier cycle, no. 20, 1992-1993.",,,uuuu,uuuu,93.5483870967742
Laval_Results_Oct20,5142,5143,litteratureetideologieslamutationdelasocietequebecoisede1940a1972--1976,litteratureetideologieslamutationdelasocietequebecoisede1940a1972actesducol--1976,Litterature et ideologies :,Littérature et idéologies :,,,1976,1976,93.42105263157895
Laval_Results_Oct20,6522,6523,saintemairedebeauceetaletudesdurbanisme--1955,saintemariedebeauceetudesdurbanisme--1955,Sainte-Maire de Beauce :,Sainte-Marie de Beauce :,,,1955,1955,93.02325581395348
Laval_Results_Oct20,5245,5247,magrammairedobservation3eannee-poul-1984,magrammairedobservation5eet6eannee-poul-1984,Ma grammaire d'observation :,Ma grammaire d'observation :,"Poulin, Daniel,","Poulin, Daniel,",1984,1984,92.85714285714286
Laval_Results_Oct20,3002,5810,lapietedufilsetudessurlassomption-deko-1954,pietedufilsetudessurlassomption-koni-1954,La piété du fils :,Piété du fils :,"De Koninck, Charles,","Koninck, Charles de,",1954,1954,92.85714285714286
Laval_Results_Oct20,182,183,anthologiepoetiquedelanouvellefrance17esieclecoursdeluclacourciere-laco-1966,anthologiepoetiquedelanouvellefrancexviiesieclecoursdemluclacourciere--1966,"Anthologie poétique de la Nouvelle-France (17è siècle), cours de Luc Lacourcière.","Anthologie poétique de la Nouvelle-France, XVIIe siècle :","Lacourcière, Luc,",,1966,1966,92.71523178807946
Laval_Results_Oct20,869,868,cursustheologicusiniiamiiædecaritate-john-1953,cursustheologicusiniiamiiaedecaritate-jaao-1953,Cursus theologicus In IIam-IIæ :,Cursus theologicus In IIam IIae.,"John of St. Thomas,","Jaão de Santo Thomaz,",1953,1953,92.47311827956989
Laval_Results_Oct20,1220,1222,droitsdegeranceetchangementstechnologique--1960,droitsdegeranceetchangementstechnologiquesrapport--1960,Droits de gerance et changements technologique /,Droits de ge?rance et changements technologiques :,,,1960,1960,92.15686274509804
Laval_Results_Oct20,6405,6406,repertoiredescoursdupremiercycleno1819901991--uuuu,repertoiredescoursdupremiercycleno2019921993--uuuu,"Répertoire des cours du premier cycle, no. 18, 1990-1991.","Répertoire des cours du premier cycle, no. 20, 1992-1993.",,,uuuu,uuuu,92.0
Laval_Results_Oct20,863,871,cursustheologicusiniamiiædeeffectibusgratiæ-john-1955,cursustheologicusinilamilaedeeffectibusgratiae-john-1955,Cursus theologicus In Iam-IIæ :,Cursus theologicus in Il̄am-Il̄ae.,"John of St. Thomas,","John of St. Thomas,",1955,1955,91.74311926605505
Laval_Results_Oct20,923,922,delajusticepolitiquetraductionineditedelouvragedewilliamgodwinenquiryconcer-godw-1972,delajusticepolitiquetraductionineditedelouvragedewilliamgodwin-godw-1972,De la justice politique.,De la justice politique :,"Godwin, William,","Godwin, William,",1972,1972,91.71974522292994
Laval_Results_Oct20,3014,3013,lapocalypsedadamnhv5--1985,lapocalypsedadam--1985,"L'Apocalypse d'Adam, NH V, 5 /",L'Apocalypse d'Adam /,,,1985,1985,91.66666666666666
Laval_Results_Oct20,4218,4220,lescoutsdeproductiondesentrepriseslaitieresduquebecen1987--uuuu,lescoutsdeproductionsurlentrepriselaitiereauquebecen1985--uuuu,Les coûts de production des entreprises laitières du Québec en 1987.,Les coûts de production sur l'entreprise laitière au Québec en 1985.,,,uuuu,uuuu,91.2
Laval_Results_Oct20,6880,6881,traitedesproblemessociaux--1995,traitedesproblemessociauxenbref--1995,Traité des problèmes sociaux /,Traité des problèmes sociaux :,,,1995,1995,91.17647058823529
Laval_Results_Oct20,164,166,annuaire19901991--uuuu,annuaire19921993--uuuu,"Annuaire, 1990-1991.","Annuaire, 1992-1993.",,,uuuu,uuuu,90.9090909090909
Laval_Results_Oct20,5872,5871,polychronometrythestudyoftimevariablesinbehavior-mack-1972,polychronometrythestudyoftimevariables-mack-1972,Polychronometry :,Polychronometry :,"Mackey, William Francis.","Mackey, William Francis.",1972,1972,90.56603773584906
Laval_Results_Oct20,6775,6776,techniqueshollywoodiennesasucces--1995,techniqueshollywoodiennesdecinemaasucces--1995,Techniques hollywoodiennes à succès /,Techniques hollywoodiennes de cinéma à succès /,,,1995,1995,90.47619047619048
Laval_Results_Oct20,6810,6812,testlavalformuleatestdeclassementfrancaislangueseconde--1971,testlavalformuleatestdeclassementfrancaislanguesecondequestionnaire--1971,"Test Laval, formule A :","Test Laval, formule A: test de classement, français langue seconde: questionnaire /",,,1971,1971,90.22556390977444
Laval_Results_Oct20,2082,2081,identiteculturelleetfrancophoniedanslesameriquesicolloquetenualuniversitedi--1976,identiteculturelleetfrancophoniedanslesameriques1actesducolloquetenualunive--1976,Identité culturelle et francophonie dans les Amériques (I):,"Identité culturelle et francophonie dans les Amériques, 1 :",,,1976,1976,90.12345679012346
Manitoba_Results_Oct23,555,556,tiktaksculptorfromrankininletnwtaretrospectiveexhibitionmarch4thto21st1970--1970,tiktaksculptorfromrankininletnwtaretrospectiveexhibitionmarch4thto21st1970g-tikt-1970,"Tiktak, sculptor from Rankin Inlet, N.W.T. :",Tiktak :,,Tiktak.,1970,1970,96.96969696969697
Manitoba_Results_Oct23,53,54,cdntr4-migh-2019,cdntr6-migh-2019,CDN TR. 4,CDN TR. 6,"MIGHTON, JOHN.","MIGHTON, JOHN.",2019,2019,93.75
Manitoba_Results_Oct23,441,442,questioningmindasurveyofphilosophicaltendencies-lodg-1947,questioningmindasurveyofphilosophicaltendenciesbyrclodge-lodg-1947,The questioning mind,"The Questioning Mind; A Survey of Philosophical Tendencies, by R.C. Lodge.","Lodge, R. C.","Lodge, R. C.",1947,1947,92.6829268292683
McGill-Queens_Results_Oct20,4296,4303,industrialrelationincanadaandtheunitedstatesfromuniformitytodivergence-kuma-1991,industrialrelationsincanadaandtheunitedstatesfromuniformitytodivergence-kuma-1991,Industrial relation in Canada and the United States :,Industrial relations in Canada and the United States :,"Kumar, Pradeep,","Kumar, Pradeep,",1991,1991,99.37888198757764
McGill-Queens_Results_Oct20,5220,5221,liabilityofstrikersinthelawoftortacomparativestudyofthelawinenglandandcanad-chri-1967,liabilityofstrikesinthelawoftortacomparativestudyofthelawinenglandandcanada-chri-1967,The Liability of strikers in the law of tort :,The liability of strikes in the law of tort :,"Christie, I. M.","Christie, Innis,",1967,1967,98.82352941176471
McGill-Queens_Results_Oct20,490,491,aspectsofcomparativecommerciallawsalesconsumercreditandsecuredtransactionsp--1969,aspectsofcomparativecommerciallawsalesconsummercreditandsecuredtransactions--1969,"Aspects of comparative commercial law: sales, consumer credit, and secured transactions",Aspects of comparative commercial law:,,,1969,1969,98.76543209876543
McGill-Queens_Results_Oct20,2653,2654,economicperformanceandsocialresponsibilitiesofthepharmaceuticalindustryinca--1967,economicperformanceandsocialresposibilitiesofthepharmaceuticalindustryincan--1967,The economic performance and social responsibilities of the pharmaceutical industry in Canada.,The Economic performance and social resposibilities of the pharmaceutical industry in Canada :,,,1967,1967,98.76543209876543
McGill-Queens_Results_Oct20,3890,3891,healtheconomicssymposiumproceedingsofthefirstcanadianconferenceseptember45a--1976,healtheconomicssymposiumproceedingsofthefirstcanadianconferenceseptember5an--1976,Health economics symposium :,Health economics symposium :,,,1976,1976,98.76543209876543
McGill-Queens_Results_Oct20,4595,4596,iraniancivilisationandcultureessaysinhonourofthe2500thanniversaryofthefound--1972,iraniancivilizationandcultureessaysinhonourofthe2500thanniversaryofthefound--1972,Iranian civilisation and culture :,Iranian civilization and culture :,,,1972,1972,98.76543209876543
McGill-Queens_Results_Oct20,9339,9340,wayoflifeanaddressdeliveredtoyalestudentssundayeveningapril201913-osle-1952,wayoflifeanaddressdeliveredtoyalestudentssundayeveningapril20th1913-osle-1952,"A way of life, an address delivered to Yale students sunday evening April 20, 1913 /",A way of life :,"Osler, William,","Osler, William,",1952,1952,98.68421052631578
McGill-Queens_Results_Oct20,4105,4106,humansensitivitytovibration-wrig-1959,humansensitivitytovibrations-wrig-1959,Human sensitivity to vibration /,"Human sensitivity to vibrations,","Wright, D. T.","Wright, Douglas T.,",1959,1959,98.66666666666667
McGill-Queens_Results_Oct20,1310,1311,caseforautomaticadjustmentmechanisminunemploymentinsurances-kell-1968,caseforautomaticadjustmentmechanismsinunemploymentinsurance-kell-1968,The case for automatic adjustment mechanism in unemployment insurances.,"The Case for automatic adjustment mechanisms in unemployment insurance,","Kelly, L. A.","Kelly, Laurence Alexander,",1968,1968,98.55072463768117
McGill-Queens_Results_Oct20,2586,2587,dynamicsofchangelaborrelationsonthemontrelwaterfront--1970,dynamicsofchangelabourrelationsonthemontrealwaterfront--1970,The Dynamics of change-labor relations on the Montrel waterfront.,The Dynamics of change - labour relations on the Montre?al waterfront /,,,1970,1970,98.30508474576271
McGill-Queens_Results_Oct20,3590,3591,generalinformationfacultyregulationsandresearchguidelines199192--uuuu,generalinformationfacultyregulationsandresearchguidelines19921993--uuuu,"General information, faculty regulations and research guidelines, 1991-92.","General information, faculty regulations and research guidelines, 1992-1993.",,,uuuu,uuuu,97.14285714285714
McGill-Queens_Results_Oct20,989,992,canadaamongnations2004--2005,canadaamongnations2005--2005,"Canada among nations, 2004 /","Canada among nations, 2005 /",,,2005,2005,96.42857142857143
McGill-Queens_Results_Oct20,966,968,calendar19901991--uuuu,calendar199091--uuuu,"[Calendar], 1990-1991.","Calendar, 1990-91.",,,uuuu,uuuu,95.23809523809523
McGill-Queens_Results_Oct20,969,970,calendar19911992--uuuu,calendar199192--uuuu,[Calendar] 1991-1992.,"Calendar, 1991-92.",,,uuuu,uuuu,95.23809523809523
McGill-Queens_Results_Oct20,971,972,calendar19921993--uuuu,calendar199293--uuuu,[Calendar] 1992-1993.,"Calendar, 1992-93.",,,uuuu,uuuu,95.23809523809523
McGill-Queens_Results_Oct20,8683,8685,temperatureandwindfrequencytablesforeurasiaiiapriljune--1960,temperatureandwindfrequencytablesforeurasiavol2apriljune--1960,"Temperature and wind frequency tables for Eurasia, II April-June /",Temperature and wind frequency tables for Eurasia :,,,1960,1960,95.08196721311475
McGill-Queens_Results_Oct20,8203,8204,spaceactivitiesandimplicationswherefromandwheretoatthethresholdofthe80slesa--1981,spaceactivitiesandimplicationswherefromandwheretoatthethresholdofthe80sproc--1981,Space activities and implications : where from and where to at the threshold of the 80's =,Space activities and implications :,,,1981,1981,95.06172839506173
